graph,L1_size,L1_assoc,L2_size,L2_assoc,replacement_policy,inclusion_property,L1_reads,L1_writes,L1_read_misses,L1_write_misses,L1_miss_rate,L1_writebacks,L2_reads,L2_read_misses,L2_writes,L2_write_misses,L2_miss_rate,L2_writebacks,total_memory_traffic
1-2,1024,1,0,0,0,0,63640,36360,12300,7046,0.193460,8359,0,0,0,0,0,0,27705
1-2,1024,2,0,0,0,0,63640,36360,9623,5980,0.156030,7002,0,0,0,0,0,0,22605
1-2,1024,4,0,0,0,0,63640,36360,8449,5821,0.142700,6689,0,0,0,0,0,0,20959
1-2,1024,8,0,0,0,0,63640,36360,7972,5655,0.136270,6509,0,0,0,0,0,0,20136
1-2,1024,32,0,0,0,0,63640,36360,8099,5597,0.136960,6442,0,0,0,0,0,0,20138
1-2,2048,1,0,0,0,0,63640,36360,8905,5869,0.147740,6713,0,0,0,0,0,0,21487
1-2,2048,2,0,0,0,0,63640,36360,5994,4720,0.107140,5391,0,0,0,0,0,0,16105
1-2,2048,4,0,0,0,0,63640,36360,5170,4452,0.096220,4942,0,0,0,0,0,0,14564
1-2,2048,8,0,0,0,0,63640,36360,4744,4325,0.090690,4788,0,0,0,0,0,0,13857
1-2,2048,64,0,0,0,0,63640,36360,4585,4275,0.088600,4693,0,0,0,0,0,0,13553
1-2,4096,1,0,0,0,0,63640,36360,5883,4134,0.100170,4675,0,0,0,0,0,0,14692
1-2,4096,2,0,0,0,0,63640,36360,4000,3528,0.075280,3962,0,0,0,0,0,0,11490
1-2,4096,4,0,0,0,0,63640,36360,2941,3051,0.059920,3369,0,0,0,0,0,0,9361
1-2,4096,8,0,0,0,0,63640,36360,2567,2798,0.053650,3056,0,0,0,0,0,0,8421
1-2,4096,128,0,0,0,0,63640,36360,2356,2598,0.049540,2861,0,0,0,0,0,0,7815
1-2,8192,1,0,0,0,0,63640,36360,3327,3373,0.067000,3574,0,0,0,0,0,0,10274
1-2,8192,2,0,0,0,0,63640,36360,2184,2550,0.047340,2666,0,0,0,0,0,0,7400
1-2,8192,4,0,0,0,0,63640,36360,1844,2403,0.042470,2496,0,0,0,0,0,0,6743
1-2,8192,8,0,0,0,0,63640,36360,1643,2311,0.039540,2397,0,0,0,0,0,0,6351
1-2,8192,256,0,0,0,0,63640,36360,1629,2283,0.039120,2378,0,0,0,0,0,0,6290
1-2,16384,1,0,0,0,0,63640,36360,1932,2677,0.046090,2503,0,0,0,0,0,0,7112
1-2,16384,2,0,0,0,0,63640,36360,1161,2223,0.033840,1965,0,0,0,0,0,0,5349
1-2,16384,4,0,0,0,0,63640,36360,741,2091,0.028320,1782,0,0,0,0,0,0,4614
1-2,16384,8,0,0,0,0,63640,36360,681,2093,0.027740,1773,0,0,0,0,0,0,4547
1-2,16384,512,0,0,0,0,63640,36360,555,2079,0.026340,1754,0,0,0,0,0,0,4388
1-2,32768,1,0,0,0,0,63640,36360,1356,2412,0.037680,1696,0,0,0,0,0,0,5464
1-2,32768,2,0,0,0,0,63640,36360,752,2129,0.028810,1324,0,0,0,0,0,0,4205
1-2,32768,4,0,0,0,0,63640,36360,570,2070,0.026400,1236,0,0,0,0,0,0,3876
1-2,32768,8,0,0,0,0,63640,36360,554,2071,0.026250,1234,0,0,0,0,0,0,3859
1-2,32768,1024,0,0,0,0,63640,36360,554,2070,0.026240,1233,0,0,0,0,0,0,3857
1-2,65536,1,0,0,0,0,63640,36360,986,2306,0.032920,1282,0,0,0,0,0,0,4574
1-2,65536,2,0,0,0,0,63640,36360,639,2074,0.027130,516,0,0,0,0,0,0,3229
1-2,65536,4,0,0,0,0,63640,36360,547,2048,0.025950,411,0,0,0,0,0,0,3006
1-2,65536,8,0,0,0,0,63640,36360,545,2044,0.025890,290,0,0,0,0,0,0,2879
1-2,65536,2048,0,0,0,0,63640,36360,544,2039,0.025830,242,0,0,0,0,0,0,2825
1-2,131072,1,0,0,0,0,63640,36360,937,2296,0.032330,926,0,0,0,0,0,0,4159
1-2,131072,2,0,0,0,0,63640,36360,544,2046,0.025900,303,0,0,0,0,0,0,2893
1-2,131072,4,0,0,0,0,63640,36360,544,2038,0.025820,26,0,0,0,0,0,0,2608
1-2,131072,8,0,0,0,0,63640,36360,544,2038,0.025820,4,0,0,0,0,0,0,2586
1-2,131072,4096,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,262144,1,0,0,0,0,63640,36360,544,2040,0.025840,65,0,0,0,0,0,0,2649
1-2,262144,2,0,0,0,0,63640,36360,544,2040,0.025840,55,0,0,0,0,0,0,2639
1-2,262144,4,0,0,0,0,63640,36360,544,2038,0.025820,1,0,0,0,0,0,0,2583
1-2,262144,8,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,262144,8192,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,524288,1,0,0,0,0,63640,36360,544,2040,0.025840,65,0,0,0,0,0,0,2649
1-2,524288,2,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,524288,4,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,524288,8,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,524288,16384,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,1048576,1,0,0,0,0,63640,36360,544,2040,0.025840,54,0,0,0,0,0,0,2638
1-2,1048576,2,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,1048576,4,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,1048576,8,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
1-2,1048576,32768,0,0,0,0,63640,36360,544,2038,0.025820,0,0,0,0,0,0,0,2582
3,1024,4,0,0,0,0,63640,36360,8449,5821,0.142700,6689,0,0,0,0,0,0,20959
3,1024,4,0,0,1,0,63640,36360,9265,6150,0.154150,7249,0,0,0,0,0,0,22664
3,1024,4,0,0,2,0,63640,36360,5983,4626,0.106090,5267,0,0,0,0,0,0,15876
3,2048,4,0,0,0,0,63640,36360,5170,4452,0.096220,4942,0,0,0,0,0,0,14564
3,2048,4,0,0,1,0,63640,36360,5782,4701,0.104830,5390,0,0,0,0,0,0,15873
3,2048,4,0,0,2,0,63640,36360,3622,3314,0.069360,3695,0,0,0,0,0,0,10631
3,4096,4,0,0,0,0,63640,36360,2941,3051,0.059920,3369,0,0,0,0,0,0,9361
3,4096,4,0,0,1,0,63640,36360,3396,3331,0.067270,3779,0,0,0,0,0,0,10506
3,4096,4,0,0,2,0,63640,36360,2120,2502,0.046220,2741,0,0,0,0,0,0,7363
3,8192,4,0,0,0,0,63640,36360,1844,2403,0.042470,2496,0,0,0,0,0,0,6743
3,8192,4,0,0,1,0,63640,36360,2179,2619,0.047980,2779,0,0,0,0,0,0,7577
3,8192,4,0,0,2,0,63640,36360,1303,2162,0.034650,2209,0,0,0,0,0,0,5674
3,16384,4,0,0,0,0,63640,36360,741,2091,0.028320,1782,0,0,0,0,0,0,4614
3,16384,4,0,0,1,0,63640,36360,836,2141,0.029770,1852,0,0,0,0,0,0,4829
3,16384,4,0,0,2,0,63640,36360,644,2041,0.026850,1818,0,0,0,0,0,0,4503
3,32768,4,0,0,0,0,63640,36360,570,2070,0.026400,1236,0,0,0,0,0,0,3876
3,32768,4,0,0,1,0,63640,36360,592,2076,0.026680,1246,0,0,0,0,0,0,3914
3,32768,4,0,0,2,0,63640,36360,560,2038,0.025980,1338,0,0,0,0,0,0,3936
3,65536,4,0,0,0,0,63640,36360,547,2048,0.025950,411,0,0,0,0,0,0,3006
3,65536,4,0,0,1,0,63640,36360,552,2051,0.026030,410,0,0,0,0,0,0,3013
3,65536,4,0,0,2,0,63640,36360,544,2038,0.025820,518,0,0,0,0,0,0,3100
3,131072,4,0,0,0,0,63640,36360,544,2038,0.025820,26,0,0,0,0,0,0,2608
3,131072,4,0,0,1,0,63640,36360,544,2038,0.025820,33,0,0,0,0,0,0,2615
3,131072,4,0,0,2,0,63640,36360,544,2038,0.025820,48,0,0,0,0,0,0,2630
3,262144,4,0,0,0,0,63640,36360,544,2038,0.025820,1,0,0,0,0,0,0,2583
3,262144,4,0,0,1,0,63640,36360,544,2038,0.025820,3,0,0,0,0,0,0,2585
3,262144,4,0,0,2,0,63640,36360,544,2038,0.025820,3,0,0,0,0,0,0,2585
4,1024,4,2048,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,8986,6689,382,0.629713,4660,14028
4,1024,4,2048,8,0,1,63640,36360,8641,5882,0.145230,6381,14523,9427,6381,0,0.649108,4450,14324
4,1024,4,4096,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,5368,6689,22,0.376174,3021,8411
4,1024,4,4096,8,0,1,63640,36360,8481,5828,0.143090,6687,14309,5408,6687,0,0.377944,3021,8453
4,1024,4,8192,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,3963,6689,2,0.277715,2399,6364
4,1024,4,8192,8,0,1,63640,36360,8455,5822,0.142770,6689,14277,3969,6689,0,0.278000,2401,6372
4,1024,4,16384,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,2770,6689,0,0.194114,1768,4538
4,1024,4,16384,8,0,1,63640,36360,8449,5821,0.142700,6689,14270,2770,6689,0,0.194114,1768,4538
4,1024,4,32768,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,2625,6689,0,0.183952,1234,3859
4,1024,4,32768,8,0,1,63640,36360,8449,5821,0.142700,6689,14270,2625,6689,0,0.183952,1234,3859
4,1024,4,65536,8,0,0,63640,36360,8449,5821,0.142700,6689,14270,2589,6689,0,0.181430,290,2879
4,1024,4,65536,8,0,1,63640,36360,8449,5821,0.142700,6689,14270,2589,6689,0,0.181430,290,2879
